Num_Lot;Date_Pesee;Pds_Carcasse;Pds_Decoupe;Classe;Espece;Balance
LOT-2026-01000;2026-01-07;383,8;188,1;U1;bovin;bizerba
LOT-2026-01001;2026-06-23;383,7;207,2;R3;bovin;bizerba
LOT-2026-01002;2026-01-08;293,1;134,8;U1;bovin;bizerba
LOT-2026-01003;2026-02-20;100,1;79,5;O;porc;bizerba
LOT-2026-01004;2026-03-13;393,3;200,6;E1;bovin;bizerba
LOT-2026-01005;2026-04-19;86,9;67,8;E;porc;bizerba
LOT-2026-01006;2026-01-27;293,0;164,1;E2;bovin;bizerba
LOT-2026-01007;2026-03-09;393,0;188,6;O3;bovin;bizerba
LOT-2026-01008;2026-04-07;77,8;64,0;U;porc;bizerba
LOT-2026-01009;2026-04-03;360,8;191,2;O3;bovin;bizerba
LOT-2026-01010;2026-03-16;417,9;188,1;P2;bovin;bizerba
LOT-2026-01011;2026-03-13;90,9;70,5;U;porc;bizerba
LOT-2026-01012;2026-06-21;317,4;158,7;O2;bovin;bizerba
LOT-2026-01013;2026-02-13;354,8;;U1;bovin;bizerba
LOT-2026-01014;2026-06-13;376,3;207,0;U1;bovin;bizerba
LOT-2026-01015;2026-01-15;312,1;146,7;E1;bovin;bizerba
LOT-2026-01016;2026-01-17;309,5;160,9;O1;bovin;bizerba
LOT-2026-01017;2026-06-17;349,9;154,0;O2;bovin;bizerba
LOT-2026-01018;2026-03-05;384,3;188,3;R3;bovin;bizerba
LOT-2026-01019;2026-05-30;335,9;181,4;U1;bovin;bizerba
LOT-2026-01020;2026-05-07;78,2;72,3;S;porc;bizerba
LOT-2026-01021;2026-02-10;102,7;82,9;R;porc;bizerba
LOT-2026-01022;2026-06-02;419,5;193,0;R3;bovin;bizerba
LOT-2026-01023;2026-01-03;375,2;191,4;E2;bovin;bizerba
LOT-2026-01024;2026-03-10;387,6;217,1;U3;bovin;bizerba
LOT-2026-01025;2026-04-27;280,5;134,6;O3;bovin;bizerba
LOT-2026-01026;2026-05-09;386,7;205,0;R3;bovin;bizerba
LOT-2026-01027;2026-03-18;397,8;179,0;R3;bovin;bizerba
LOT-2026-01028;2026-02-11;93,9;77,8;O;porc;bizerba
LOT-2026-01029;2026-05-06;282,7;141,3;U3;bovin;bizerba
LOT-2026-01030;2026-03-20;313,5;172,4;U1;bovin;bizerba
LOT-2026-01031;2026-01-22;382,5;179,8;P2;bovin;bizerba
LOT-2026-01032;2026-02-02;298,0;155,0;R2;bovin;bizerba
LOT-2026-01033;2026-05-16;105,5;87,9;R;porc;bizerba
LOT-2026-01034;2026-06-26;308,2;135,6;U2;bovin;bizerba
LOT-2026-01035;2026-04-06;341,3;167,2;R3;bovin;bizerba
LOT-2026-01036;2026-01-17;86,8;69,8;O;porc;bizerba
LOT-2026-01037;2026-01-02;289,9;156,5;O2;bovin;bizerba
LOT-2026-01038;2026-01-09;105,1;94,7;S;porc;bizerba
LOT-2026-01039;2026-05-05;310,0;142,6;E3;bovin;bizerba
LOT-2026-01040;2026-05-28;346,2;176,6;P1;bovin;bizerba
LOT-2026-01041;2026-01-25;293,6;164,4;R1;bovin;bizerba
LOT-2026-01042;2026-01-14;374,3;179,7;O2;bovin;bizerba
LOT-2026-01043;2026-03-28;392,1;207,8;E2;bovin;bizerba
LOT-2026-01044;2026-04-25;79,9;62,6;E;porc;bizerba
LOT-2026-01045;2026-01-20;90,5;-69,9;O;porc;bizerba
