lot_number,weigh_date,carcass_weight,cut_weight,grade,scale_id
LOT-2026-01000,01/07/2026,383.8,280.6,U1,dini_argeo
LOT-2026-01001,06/23/2026,383.7,261.3,R3,dini_argeo
LOT-2026-01002,01/08/2026,293.1,219.8,U1,dini_argeo
LOT-2026-01003,02/20/2026,100.1,79.5,O,dini_argeo
LOT-2026-01004,03/13/2026,393.3,309.9,E1,dini_argeo
LOT-2026-01005,04/19/2026,86.9,67.8,E,dini_argeo
LOT-2026-01006,01/27/2026,293.0,222.7,E2,dini_argeo
LOT-2026-01007,03/09/2026,393.0,270.0,O3,dini_argeo
LOT-2026-01008,04/07/2026,NC,64.0,U,dini_argeo
LOT-2026-01009,04/03/2026,360.8,238.1,O3,dini_argeo
LOT-2026-01010,03/16/2026,417.9,272.1,P2,dini_argeo
LOT-2026-01011,03/13/2026,90.9,70.5,U,dini_argeo
LOT-2026-01012,06/21/2026,317.4,222.2,O2,dini_argeo
LOT-2026-01013,02/13/2026,354.8,257.6,U1,dini_argeo
LOT-2026-01014,06/13/2026,376.3,287.1,U1,dini_argeo
LOT-2026-01015,01/15/2026,312.1,246.9,E1,dini_argeo
LOT-2026-01016,01/17/2026,309.5,221.6,O1,dini_argeo
LOT-2026-01017,06/17/2026,349.9,240.4,O2,dini_argeo
LOT-2026-01018,03/05/2026,384.3,266.3,R3,dini_argeo
LOT-2026-01019,05/30/2026,335.9,263.7,U1,dini_argeo
LOT-2026-01020,05/07/2026,78.2,72.3,S,dini_argeo
LOT-2026-01021,02/10/2026,102.7,82.9,R,dini_argeo
LOT-2026-01022,06/02/2026,419.5,290.7,R3,dini_argeo
LOT-2026-01023,01/03/2026,375.2,293.8,E2,dini_argeo
LOT-2026-01024,03/10/2026,387.6,280.2,U3,dini_argeo
LOT-2026-01025,04/27/2026,280.5,200.8,O3,dini_argeo
LOT-2026-01026,05/09/2026,386.7,285.8,R3,dini_argeo
LOT-2026-01027,03/18/2026,397.8,285.6,R3,dini_argeo
LOT-2026-01028,02/11/2026,93.9,77.8,O,dini_argeo
LOT-2026-01029,05/06/2026,282.7,219.7,U3,dini_argeo
LOT-2026-01030,03/20/2026,313.5,243.3,U1,dini_argeo
LOT-2026-01031,01/22/2026,382.5,244.8,P2,dini_argeo
LOT-2026-01032,02/02/2026,298.0,220.8,R2,dini_argeo
LOT-2026-01033,05/16/2026,105.5,87.9,R,dini_argeo
LOT-2026-01034,06/26/2026,308.2,229.0,U2,dini_argeo
LOT-2026-01035,04/06/2026,341.3,241.3,R3,dini_argeo
LOT-2026-01036,01/17/2026,86.8,69.8,O,dini_argeo
LOT-2026-01037,01/02/2026,289.9,191.0,O2,dini_argeo
LOT-2026-01038,01/09/2026,105.1,94.7,S,dini_argeo
LOT-2026-01039,05/05/2026,310.0,243.7,E3,dini_argeo
LOT-2026-01040,05/28/2026,346.2,231.3,P1,dini_argeo
LOT-2026-01041,01/25/2026,293.6,205.5,R1,dini_argeo
LOT-2026-01042,01/14/2026,374.3,247.8,O2,dini_argeo
LOT-2026-01043,03/28/2026,392.1,294.9,E2,dini_argeo
LOT-2026-01044,04/25/2026,79.9,62.6,E,dini_argeo
LOT-2026-01045,01/20/2026,90.5,69.9,O,dini_argeo
LOT-2026-01046,05/19/2026,397.0,317.6,E2,dini_argeo
LOT-2026-01047,02/12/2026,336.9,232.5,R2,dini_argeo
LOT-2026-01048,01/16/2026,303.0,243.6,E1,dini_argeo
LOT-2026-01049,04/27/2026,319.9,231.0,O3,dini_argeo
LOT-2026-01050,05/23/2026,372.7,255.7,R2,dini_argeo
LOT-2026-01051,01/15/2026,361.1,245.2,R3,dini_argeo
LOT-2026-01052,01/13/2026,361.8,267.4,R3,dini_argeo
LOT-2026-01053,01/15/2026,414.5,329.5,E2,dini_argeo
LOT-2026-01054,01/18/2026,98.6,78.2,E,dini_argeo
LOT-2026-01055,05/26/2026,314.5,206.9,O1,dini_argeo
LOT-2026-01056,06/18/2026,95.4,75.1,O,dini_argeo
LOT-2026-01057,06/21/2026,380.3,279.1,U1,dini_argeo
LOT-2026-01058,06/15/2026,85.5,98.3,U,dini_argeo
LOT-2026-01059,01/03/2026,344.2,249.5,O1,dini_argeo
LOT-2026-01060,02/24/2026,92.7,76.9,E,dini_argeo
LOT-2026-01061,03/04/2026,331.7,254.1,E3,dini_argeo
LOT-2026-01062,03/19/2026,365.6,249.0,P1,dini_argeo
LOT-2026-01063,05/22/2026,85.5,79.6,S,dini_argeo
LOT-2026-01064,01/30/2026,106.1,82.3,O,dini_argeo
LOT-2026-01065,02/23/2026,380.5,290.3,U1,dini_argeo
LOT-2026-01066,05/10/2026,348.4,222.6,P2,dini_argeo
LOT-2026-01067,03/12/2026,286.2,220.1,U3,dini_argeo
LOT-2026-01068,03/09/2026,302.6,216.1,R2,dini_argeo
LOT-2026-01069,01/03/2026,295.7,212.3,O3,dini_argeo
LOT-2026-01070,04/05/2026,361.6,276.6,E3,dini_argeo
LOT-2026-01071,04/04/2026,106.5,98.8,S,dini_argeo
LOT-2026-01072,03/05/2026,98.3,80.6,U,dini_argeo
LOT-2026-01073,04/15/2026,416.3,277.3,O3,dini_argeo
LOT-2026-01074,02/11/2026,416.7,269.6,P1,dini_argeo
LOT-2026-01075,02/15/2026,383.1,295.0,U3,dini_argeo
LOT-2026-01076,06/21/2026,401.0,261.5,P1,dini_argeo
LOT-2026-01077,06/29/2026,78.8,72.9,S,dini_argeo
LOT-2026-01078,04/28/2026,87.2,68.1,E,dini_argeo
LOT-2026-01079,04/13/2026,326.0,208.6,P2,dini_argeo
LOT-2026-01080,03/31/2026,369.8,267.4,R1,dini_argeo
LOT-2026-01081,03/26/2026,411.5,327.6,E2,dini_argeo
LOT-2026-01082,05/29/2026,414.8,297.8,U2,dini_argeo
LOT-2026-01083,03/30/2026,382.0,285.0,U3,dini_argeo
LOT-2026-01084,01/30/2026,333.9,223.0,O1,dini_argeo
LOT-2026-01085,04/22/2026,75.1,61.1,O,dini_argeo
LOT-2026-01086,06/21/2026,307.6,209.2,R1,dini_argeo
LOT-2026-01087,03/26/2026,367.2,262.2,O2,dini_argeo
LOT-2026-01088,03/18/2026,351.0,240.1,O2,dini_argeo
LOT-2026-01089,03/17/2026,357.6,266.1,U1,dini_argeo
LOT-2026-01090,06/23/2026,384.7,299.3,E3,dini_argeo
LOT-2026-01091,05/21/2026,396.7,291.6,U2,dini_argeo
LOT-2026-01092,05/29/2026,364.9,272.9,U3,dini_argeo
LOT-2026-01093,02/24/2026,351.6,245.4,,dini_argeo
LOT-2026-01094,02/13/2026,372.2,279.5,U2,dini_argeo
LOT-2026-01095,03/27/2026,293.1,190.8,P1,dini_argeo
LOT-2026-01096,02/20/2026,300.6,226.1,E1,dini_argeo
LOT-2026-01097,01/19/2026,343.8,238.9,O2,dini_argeo
LOT-2026-01098,04/09/2026,349.2,253.2,U1,dini_argeo
LOT-2026-01099,01/28/2026,389.0,282.8,U1,dini_argeo
LOT-2026-01100,05/13/2026,345.0,238.7,R3,dini_argeo
LOT-2026-01101,04/27/2026,298.7,215.7,R2,dini_argeo
LOT-2026-01102,06/02/2026,324.4,226.1,P1,dini_argeo
LOT-2026-01103,05/10/2026,339.7,239.8,R3,dini_argeo
LOT-2026-01104,05/02/2026,90.8,74.8,E,dini_argeo
LOT-2026-01105,05/14/2026,347.8,255.3,U1,dini_argeo
LOT-2026-01106,03/15/2026,83.2,65.5,U,dini_argeo
LOT-2026-01107,02/05/2026,301.1,218.0,R1,dini_argeo
LOT-2026-01108,01/17/2026,338.1,254.6,U3,dini_argeo
LOT-2026-01109,02/22/2026,396.6,292.7,R1,dini_argeo
LOT-2026-01110,06/28/2026,282.7,190.8,P1,dini_argeo
LOT-2026-01111,04/01/2026,321.8,236.5,R1,dini_argeo
LOT-2026-01112,04/18/2026,355.4,246.3,O3,dini_argeo
LOT-2026-01113,02/26/2026,348.4,259.9,U2,dini_argeo
LOT-2026-01114,03/28/2026,98.4,80.3,R,dini_argeo
LOT-2026-01115,02/02/2026,417.3,282.5,R3,dini_argeo
LOT-2026-01116,05/25/2026,372.8,290.8,E2,dini_argeo
LOT-2026-01117,04/29/2026,81.4,64.5,U,dini_argeo
LOT-2026-01118,03/25/2026,86.8,68.1,R,dini_argeo
LOT-2026-01119,04/18/2026,315.3,242.2,E2,dini_argeo
LOT-2026-01120,01/14/2026,420.0,307.0,U3,dini_argeo
LOT-2026-01121,06/16/2026,76.4,71.1,S,dini_argeo
LOT-2026-01122,01/06/2026,96.7,74.8,E,dini_argeo
LOT-2026-01123,05/25/2026,412.7,298.8,R2,dini_argeo
LOT-2026-01124,02/12/2026,364.8,257.2,O3,dini_argeo
LOT-2026-01125,02/11/2026,415.1,322.1,E2,dini_argeo
LOT-2026-01126,05/28/2026,374.8,263.5,R1,dini_argeo
LOT-2026-01127,01/20/2026,362.9,246.4,P2,dini_argeo
LOT-2026-01128,03/19/2026,104.8,86.0,O,dini_argeo
LOT-2026-01129,05/25/2026,389.6,293.0,U3,dini_argeo
LOT-2026-01130,01/18/2026,350.8,251.2,U3,dini_argeo
LOT-2026-01131,05/06/2026,294.8,223.8,U3,dini_argeo
LOT-2026-01132,02/09/2026,341.0,236.0,O3,dini_argeo
LOT-2026-01133,06/07/2026,393.1,286.6,R3,dini_argeo
LOT-2026-01134,06/01/2026,317.6,207.1,P2,dini_argeo
LOT-2026-01135,03/13/2026,403.4,309.8,U1,dini_argeo
LOT-2026-01136,06/21/2026,333.1,256.5,E1,dini_argeo
LOT-2026-01137,05/05/2026,309.7,202.2,P1,dini_argeo
LOT-2026-01138,06/02/2026,378.2,285.2,U2,dini_argeo
LOT-2026-01139,02/18/2026,292.0,199.4,O3,dini_argeo
LOT-2026-01140,03/03/2026,376.7,265.6,O2,dini_argeo
LOT-2026-01141,01/05/2026,293.0,217.7,U1,dini_argeo
LOT-2026-01142,06/19/2026,95.4,76.7,R,dini_argeo
LOT-2026-01143,05/21/2026,326.3,224.2,O3,dini_argeo
LOT-2026-01144,03/01/2026,296.9,218.8,U1,dini_argeo
LOT-2026-01145,06/26/2026,305.9,234.6,U1,dini_argeo
LOT-2026-01146,05/31/2026,416.7,298.8,R3,dini_argeo
LOT-2026-01147,02/19/2026,321.5,234.1,U3,dini_argeo
LOT-2026-01148,31/02/2026,79.4,74.1,S,dini_argeo
LOT-2026-01149,06/28/2026,412.2,295.1,O2,dini_argeo
LOT-2026-01150,01/04/2026,360.4,255.5,R2,dini_argeo
LOT-2026-01151,01/14/2026,315.3,210.6,P2,dini_argeo
LOT-2026-01152,04/13/2026,348.8,243.8,O1,dini_argeo
LOT-2026-01153,02/08/2026,103.4,79.7,U,dini_argeo
LOT-2026-01154,05/23/2026,101.8,82.2,O,dini_argeo
LOT-2026-01155,05/14/2026,333.3,232.0,R2,dini_argeo
LOT-2026-01156,04/20/2026,322.8,212.7,O1,dini_argeo
LOT-2026-01157,01/26/2026,412.7,313.2,U1,dini_argeo
LOT-2026-01158,01/21/2026,302.0,233.7,E3,dini_argeo
LOT-2026-01159,04/15/2026,90.8,72.5,O,dini_argeo
LOT-2026-01160,03/15/2026,99.7,76.8,R,dini_argeo
LOT-2026-01161,03/09/2026,102.6,83.2,O,dini_argeo
LOT-2026-01162,04/19/2026,296.1,225.0,U1,dini_argeo
LOT-2026-01163,02/06/2026,290.0,229.1,E3,dini_argeo
LOT-2026-01164,05/26/2026,409.0,279.8,R2,dini_argeo
LOT-2026-01165,06/29/2026,336.4,252.3,U2,dini_argeo
