DATE	BALANCE	CLASSE	ESPECE	LOT	POIDS_C	POIDS_D
2026-01-07	multivac	U1	bovin	LOT-2026-01000	383.8	184.2
2026-06-23	multivac	R3	bovin	LOT-2026-01001	383.7	203.4
2026-01-08	multivac	U1	bovin	LOT-2026-01002	293.1	126.0
2026-02-20	multivac	O	porc	LOT-2026-01003	100.1	79.5
2026-03-13	multivac	E1	bovin	LOT-2026-01004	393.3	188.8
2026-04-19	multivac	E	porc	LOT-2026-01005	86.9	67.8
2026-01-27	multivac	E2	bovin	LOT-2026-01006	293.0	155.3
2026-03-09	multivac	O3	bovin	LOT-2026-01007	393.0	169.0
2026-04-07	multivac	U	porc	LOT-2026-01008	77.8	64.0
2026-04-03	multivac	O3	bovin	LOT-2026-01009	360.8	173.2
2026-03-16	multivac	P2	bovin	LOT-2026-01010	417.9	221.5
2026-03-13	multivac	U	porc	LOT-2026-01011	90.9	70.5
2026-06-21	multivac	O2	bovin	LOT-2026-01012	317.4	136.5
2026-02-13	multivac	U1	bovin	LOT-2026-01013	354.8	170.3
2026-06-13	multivac	U1	bovin	LOT-2026-01014	376.3	199.4
2026-01-15	multivac	E1	bovin	LOT-2026-01015	312.1	134.2
2026-01-17	multivac	O1	bovin	LOT-2026-01016	309.5	148.6
2026-06-17	multivac	O2	bovin	LOT-2026-01017	349.9	185.4
2026-03-05	multivac	R3	bovin	LOT-2026-01018	0	266.3
2026-05-30	multivac	U1	bovin	LOT-2026-01019	335.9	144.4
2026-05-07	multivac	S	porc	LOT-2026-01020	78.2	72.3
2026-02-10	multivac	R	porc	LOT-2026-01021	102.7	82.9
2026-06-02	multivac	R3	bovin	LOT-2026-01022	419.5	201.4
2026-01-03	multivac	E2	bovin	LOT-2026-01023	375.2	198.9
2026-03-10	multivac	U3	bovin	LOT-2026-01024	387.6	166.7
2026-04-27	multivac	O3	bovin	LOT-2026-01025	280.5	134.6
2026-05-09	multivac	R3	bovin	LOT-2026-01026	386.7	205.0
2026-03-18	multivac	R3	bovin	LOT-2026-01027	397.8	171.1
2026-02-11	multivac	O	porc	LOT-2026-01028	93.9	77.8
2026-05-06	multivac	U3	bovin	LOT-2026-01029	282.7	135.7
2026-03-20	multivac	U1	bovin	LOT-2026-01030	313.5	166.2
2026-01-22	multivac	P2	bovin	LOT-2026-01031	382.5	164.5
2026-02-02	multivac	R2	bovin	LOT-2026-01032	298.0	143.0
2026-05-16	multivac	R	porc	LOT-2026-01033	105.5	87.9
2026-06-26	multivac	U2	bovin	LOT-2026-01034	308.2	163.3
2026-04-06	multivac	R3	bovin	LOT-2026-01035	341.3	146.8
2026-01-17	multivac	O	porc	LOT-2026-01036	86.8	69.8
2026-01-02	multivac	O2	bovin	LOT-2026-01037	289.9	139.2
2026-01-09	multivac	S	porc	LOT-2026-01038	105.1	94.7
2026-05-05	multivac	E3	bovin	LOT-2026-01039	310.0	164.3
2026-05-28	multivac	P1	bovin	LOT-2026-01040	346.2	148.9
2026-01-25	multivac	R1	bovin	LOT-2026-01041	293.6	140.9
2026-01-14	multivac	O2	bovin	LOT-2026-01042	374.3	198.4
2026-03-28	multivac	E2	bovin	LOT-2026-01043	392.1	168.6
2026-04-25	multivac	E	porc	LOT-2026-01044	79.9	62.6
2026-01-20	multivac	O	porc	LOT-2026-01045	90.5	69.9
2026-05-19	multivac	E2	bovin	LOT-2026-01046	397.0	190.6
2026-02-12	multivac	R2	bovin	LOT-2026-01047	336.9	178.6
2026-01-16	multivac	E1	bovin	LOT-2026-01048	303.0	130.3
2026-04-27	multivac	O3	bovin	LOT-2026-01049	319.9	153.6
2026-05-23	multivac	R2	bovin	LOT-2026-01050	372.7	197.5
2026-01-15	multivac	R3	bovin	LOT-2026-01051	361.1	155.3
2026-01-13	multivac	R3	bovin	LOT-2026-01052	361.8	173.7

2026-01-18	multivac	E	porc	LOT-2026-01054	98.6	78.2
2026-05-26	multivac	O1	bovin	LOT-2026-01055	314.5	166.7
2026-06-18	multivac	O	porc	LOT-2026-01056	95.4	75.1
2026-06-21	multivac	U1	bovin	LOT-2026-01057	380.3	163.5
2026-06-15	multivac	U	porc	LOT-2026-01058	85.5	71.0
2026-01-03	multivac	O1	bovin	LOT-2026-01059	344.2	165.2
2026-02-24	multivac	E	porc	LOT-2026-01060	92.7	76.9
2026-03-04	multivac	E3	bovin	LOT-2026-01061	331.7	175.8
2026-03-19	multivac	P1	bovin	LOT-2026-01062	365.6	157.2
2026-05-22	multivac	S	porc	LOT-2026-01063	85.5	79.6
2026-01-30	multivac	O	porc	LOT-2026-01064	106.1	82.3
2026-02-23	multivac	U1	bovin	LOT-2026-01065	380.5	182.6
2026-05-10	multivac	P2	bovin	LOT-2026-01066	348.4	184.7
2026-03-12	multivac	U3	bovin	LOT-2026-01067	286.2	123.1
2026-03-09	multivac	R2	bovin	LOT-2026-01068	302.6	145.2
2026-01-03	multivac	O3	bovin	LOT-2026-01069	295.7	156.7
2026-04-05	multivac	E3	bovin	LOT-2026-01070	361.6	155.5
