Num_Apport;Date_Apport;Site;Cereale;Poids_Net;Taux_Humidite
APP-2026-01000;2026-04-21;silo_est;ble_tendre;23320,0;12,5
APP-2026-01001;2026-04-13;silo_ouest;mais;21720,0;10,9
APP-2026-01002;2026-03-07;silo_ouest;mais;19844,0;11,2
APP-2026-01003;2026-01-24;silo_nord;ble_tendre;40430,0;11,9
APP-2026-01004;2026-04-06;silo_est;orge;39530,0;13,5
APP-2026-01005;2026-02-01;silo_ouest;orge;21486,0;14,9
APP-2026-01006;2026-01-14;silo_est;orge;46578,0;13,7
APP-2026-01007;2026-05-28;silo_ouest;ble_tendre;25834,0;12,2
APP-2026-01008;2026-01-28;silo_nord;ble_tendre;18755,0;14,0
APP-2026-01009;2026-05-27;silo_nord;mais;13177,0;12,4
APP-2026-01010;2026-03-10;silo_est;orge;;12,2
APP-2026-01011;2026-03-31;silo_ouest;mais;3275,0;14,4
APP-2026-01012;2026-02-06;silo_nord;ble_tendre;36344,0;15,9
APP-2026-01013;2026-05-16;silo_est;orge;12681,0;12,9
APP-2026-01014;2026-04-05;silo_nord;ble_tendre;17024,0;13,0
APP-2026-01015;2026-02-09;silo_nord;ble_tendre;10083,0;14,3
APP-2026-01016;2026-04-24;silo_ouest;mais;32787,0;12,7
APP-2026-01017;2026-03-11;silo_est;mais;12701,0;12,8
APP-2026-01018;2026-01-29;silo_ouest;mais;15746,0;13,6
APP-2026-01019;2026-03-20;silo_nord;orge;5044,0;12,8
APP-2026-01020;2026-02-22;silo_sud;ble_tendre;16564,0;12,5
APP-2026-01021;2026-03-16;silo_ouest;mais;17766,0;10,5
APP-2026-01022;2026-02-03;silo_est;ble_tendre;20109,0;14,7
APP-2026-01023;2026-04-12;silo_nord;ble_tendre;41779,0;11,7
APP-2026-01024;2026-01-20;silo_ouest;mais;41795,0;13,1
APP-2026-01025;2026-04-17;silo_est;orge;16028,0;12,8
APP-2026-01026;2026-04-28;silo_nord;ble_tendre;40441,0;15,6
APP-2026-01027;2026-01-28;silo_nord;mais;13949,0;13,1
APP-2026-01028;2026-03-21;silo_sud;mais;36561,0;11,5
APP-2026-01029;2026-05-11;silo_sud;ble_tendre;31495,0;13,9
APP-2026-01030;2026-03-31;silo_sud;mais;35732,0;14,2
APP-2026-01031;2026-01-27;silo_sud;ble_tendre;9590,0;12,4
APP-2026-01032;2026-01-20;silo_ouest;orge;10972,0;14,5
APP-2026-01033;2026-05-25;silo_est;mais;37194,0;12,5
APP-2026-01034;2026-03-22;silo_ouest;orge;9793,0;11,3
APP-2026-01035;2026-03-19;silo_est;orge;38835,0;13,7
APP-2026-01036;2026-01-19;silo_nord;orge;16968,0;13,0
APP-2026-01037;2026-03-15;silo_nord;mais;6453,0;14,4
APP-2026-01038;2026-05-10;silo_nord;orge;20302,0;13,6
APP-2026-01039;2026-05-27;silo_ouest;mais;32333,0;11,9
APP-2026-01040;2026-02-08;silo_est;orge;46098,0;13,0
APP-2026-01041;2026-01-22;silo_sud;orge;25705,0;11,8
APP-2026-01042;2026-04-23;silo_sud;orge;47594,0;13,4
APP-2026-01043;2026-04-06;silo_est;mais;44307,0;12,2
APP-2026-01044;2026-01-14;silo_nord;orge;38515,0;13,9
APP-2026-01045;2026-01-25;silo_est;mais;28108,0;12,2
APP-2026-01046;2026-02-08;silo_sud;orge;18001,0;13,6
APP-2026-01047;2026-03-21;silo_ouest;mais;46546,0;13,6
APP-2026-01048;2026-01-22;silo_est;ble_tendre;16931,0;13,2
APP-2026-01049;2026-05-15;silo_est;ble_tendre;7205,0;14,5
APP-2026-01050;2026-04-03;silo_est;ble_tendre;16899,0;15,8
APP-2026-01051;2026-02-19;silo_nord;mais;13194,0;11,1
APP-2026-01052;2026-01-26;silo_nord;mais;25846,0;12,9
APP-2026-01053;2026-03-28;silo_ouest;orge;42438,0;13,8
APP-2026-01054;2026-02-11;silo_sud;ble_tendre;11138,0;14,6
APP-2026-01055;2026-04-23;silo_sud;orge;4966,0;12,6
APP-2026-01056;2026-03-14;silo_sud;mais;36858,0;14,0
APP-2026-01057;2026-03-03;silo_ouest;orge;16926,0;14,6
APP-2026-01058;2026-04-05;silo_ouest;ble_tendre;33524,0;14,1
APP-2026-01059;2026-03-14;silo_ouest;mais;38016,0;12,8
APP-2026-01060;2026-02-21;silo_est;ble_tendre;39057,0;12,1
APP-2026-01061;2026-05-04;silo_nord;ble_tendre;42335,0;14,0
APP-2026-01062;2026-05-13;silo_sud;orge;41302,0;12,3
APP-2026-01063;2026-04-26;silo_ouest;mais;43739,0;11,2
APP-2026-01064;2026-02-26;silo_nord;ble_tendre;39752,0;15,5
APP-2026-01065;2026-01-14;silo_ouest;mais;20840,0;12,2
APP-2026-01066;2026-04-06;silo_nord;ble_tendre;13104,0;12,9
APP-2026-01067;2026-03-27;silo_est;orge;38612,0;11,6
APP-2026-01068;2026-02-05;silo_nord;mais;37148,0;12,6
APP-2026-01069;2026-01-05;silo_ouest;ble_tendre;14517,0;15,3
APP-2026-01070;2026-03-15;silo_sud;ble_tendre;13694,0;12,0
APP-2026-01071;2026-04-28;silo_ouest;mais;5826,0;14,3
APP-2026-01072;2026-05-18;silo_sud;orge;3740,0;13,3
APP-2026-01073;2026-02-06;silo_est;orge;16107,0;11,0
APP-2026-01074;2026-05-27;silo_nord;ble_tendre;21746,0;14,5
APP-2026-01075;2026-04-03;silo_nord;orge;6046,0;13,4
APP-2026-01076;2026-05-01;silo_est;mais;4959,0;12,2
APP-2026-01077;2026-01-05;silo_sud;mais;19069,0;10,8
APP-2026-01078;2026-01-27;silo_est;orge;37718,0;14,3
APP-2026-01079;2026-01-12;silo_sud;ble_tendre;18853,0;13,0
APP-2026-01080;2026-04-29;silo_sud;orge;47137,0;13,2
APP-2026-01081;2026-01-17;silo_nord;ble_tendre;35222,0;15,7
APP-2026-01082;2026-02-21;silo_nord;mais;4971,0;11,4
APP-2026-01083;2026-03-21;silo_ouest;mais;26192,0;15,0
APP-2026-01084;2026-01-10;silo_est;mais;36898,0;11,4
APP-2026-01085;2026-03-26;silo_ouest;ble_tendre;15295,0;15,1
APP-2026-01086;2026-04-23;silo_sud;mais;43259,0;12,2
APP-2026-01087;2026-05-08;silo_est;mais;19531,0;14,1
APP-2026-01088;2026-04-19;silo_sud;ble_tendre;6552,0;45,0
APP-2026-01089;2026-03-17;silo_est;orge;17455,0;11,4
APP-2026-01090;2026-04-25;silo_ouest;mais;30118,0;12,4
APP-2026-01091;2026-04-25;silo_est;mais;4906,0;14,4
APP-2026-01092;2026-04-22;silo_nord;orge;15355,0;15,4
APP-2026-01093;2026-04-14;silo_sud;ble_tendre;19349,0;15,1
APP-2026-01094;2026-02-06;silo_ouest;ble_tendre;41190,0;14,6
APP-2026-01095;2026-02-02;silo_est;ble_tendre;6026,0;15,0
APP-2026-01096;2026-04-09;silo_sud;mais;45726,0;10,6
APP-2026-01097;2026-04-26;silo_nord;orge;45697,0;12,7
APP-2026-01098;2026-02-05;silo_est;orge;26826,0;12,8
APP-2026-01099;2026-01-30;silo_ouest;ble_tendre;4166,0;12,3
APP-2026-01100;2026-01-31;silo_ouest;orge;14780,0;12,2
APP-2026-01101;2026-03-15;silo_sud;ble_tendre;34229,0;16,0
APP-2026-01102;2026-02-04;silo_ouest;ble_tendre;41377,0;13,5
APP-2026-01103;2026-03-23;silo_est;ble_tendre;33053,0;14,7
APP-2026-01104;2026-02-10;silo_sud;mais;35031,0;14,7
APP-2026-01105;2026-05-11;silo_sud;mais;13091,0;14,9
APP-2026-01106;2026-05-07;silo_est;ble_tendre;4183,0;14,0
APP-2026-01107;2026-05-22;silo_nord;mais;8840,0;14,5
APP-2026-01108;2026-04-12;silo_ouest;mais;47982,0;13,7
APP-2026-01109;2026-05-28;silo_nord;mais;6319,0;14,9
APP-2026-01110;2026-04-30;silo_sud;mais;33605,0;12,1
APP-2026-01111;2026-04-21;silo_nord;ble_tendre;25629,0;15,4
APP-2026-01112;2026-02-09;silo_sud;orge;16686,0;11,7
APP-2026-01113;2026-05-13;silo_est;mais;43272,0;14,3
APP-2026-01114;2026-05-22;silo_nord;ble_tendre;15350,0;14,3
APP-2026-01115;2026-02-13;silo_sud;orge;29631,0;13,6
APP-2026-01116;2026-03-28;silo_nord;orge;40914,0;13,5
APP-2026-01117;2026-01-12;silo_est;ble_tendre;45685,0;15,0
APP-2026-01118;2026-02-23;silo_nord;orge;37513,0;12,9
APP-2026-01119;2026-05-20;silo_ouest;mais;16035,0;14,8
APP-2026-01120;2026-04-14;silo_nord;ble_tendre;16385,0;11,8
APP-2026-01121;2026-04-23;silo_est;ble_tendre;21703,0;13,6
APP-2026-01122;2026-02-06;silo_est;orge;17066,0;14,2
APP-2026-01123;2026-02-03;silo_nord;mais;37230,0;12,8
APP-2026-01124;2026-03-03;silo_sud;mais;23991,0;11,7
APP-2026-01125;2026-01-25;silo_ouest;ble_tendre;5277,0;15,8
APP-2026-01126;2026-02-10;silo_est;ble_tendre;39607,0;15,7
APP-2026-01127;2026-02-10;silo_ouest;ble_tendre;25422,0;13,8
APP-2026-01128;2026-05-08;silo_ouest;mais;4043,0;14,8
APP-2026-01129;2026-02-25;silo_est;ble_tendre;29250,0;11,7
APP-2026-01130;2026-05-01;silo_nord;mais;15859,0;10,5
APP-2026-01131;2026-02-04;silo_ouest;mais;42711,0;13,8
APP-2026-01132;2026-01-12;silo_sud;mais;21026,0;13,1
APP-2026-01133;2026-05-22;silo_ouest;mais;15987,0;12,2
APP-2026-01134;2026-03-13;silo_nord;orge;40139,0;13,8
