CEREALE	HUMIDITE	POIDS	SITE	DATE	APPORT
ble_tendre	12.5	23320.0	silo_est	2026-04-21	APP-2026-01000
mais	10.9	21720.0	silo_ouest	2026-04-13	APP-2026-01001
mais	11.2	19844.0	silo_ouest	2026-03-07	APP-2026-01002
ble_tendre	11.9	40430.0	silo_nord	2026-01-24	APP-2026-01003
orge	13.5	39530.0	silo_est	2026-04-06	APP-2026-01004
orge	14.9	21486.0	silo_ouest	2026-02-01	APP-2026-01005
orge	13.7	46578.0	silo_est	2026-01-14	APP-2026-01006
ble_tendre	12.2	25834.0	silo_ouest	2026-05-28	APP-2026-01007
ble_tendre	14.0	18755.0	silo_nord	2026-01-28	APP-2026-01008
mais	12.4	13177.0	silo_nord	2026-05-27	APP-2026-01009
orge	12.2	4303.0	silo_est	2026-03-10	APP-2026-01010
mais	14.4	3275.0	silo_ouest	2026-03-31	APP-2026-01011
ble_tendre	15.9	36344.0	silo_nord	2026-02-06	APP-2026-01012
orge	12.9	12681.0	silo_est	2026-05-16	APP-2026-01013
ble_tendre	13.0	17024.0	silo_nord	2026-04-05	APP-2026-01014
ble_tendre	14.3	10083.0	silo_nord	2026-02-09	APP-2026-01015
mais	12.7	0	silo_ouest	2026-04-24	APP-2026-01016
mais	12.8	12701.0	silo_est	2026-03-11	APP-2026-01017
mais	13.6	15746.0	silo_ouest	2026-01-29	APP-2026-01018
orge	12.8	5044.0	silo_nord	2026-03-20	APP-2026-01019
ble_tendre	12.5	16564.0	silo_sud	2026-02-22	APP-2026-01020
mais	10.5	17766.0	silo_ouest	2026-03-16	APP-2026-01021
ble_tendre	14.7	20109.0	silo_est	2026-02-03	APP-2026-01022
ble_tendre	11.7	41779.0	silo_nord	2026-04-12	APP-2026-01023
mais	13.1	41795.0	silo_ouest	2026-01-20	APP-2026-01024
orge	12.8	16028.0	silo_est	2026-04-17	APP-2026-01025
ble_tendre	15.6	40441.0	silo_nord	2026-04-28	APP-2026-01026
mais	13.1	13949.0	silo_nord	2026-01-28	APP-2026-01027
mais	11.5	36561.0	silo_sud	2026-03-21	APP-2026-01028
ble_tendre	13.9	31495.0	silo_sud	2026-05-11	APP-2026-01029
mais	14.2	35732.0	silo_sud	2026-03-31	APP-2026-01030
ble_tendre	12.4	9590.0	silo_sud	2026-01-27	APP-2026-01031
orge	14.5	10972.0	silo_ouest	2026-01-20	APP-2026-01032
mais	12.5	37194.0	silo_est	2026-05-25	APP-2026-01033
